id,code,name
5,FCB,FC Bayern München
4,BVB,Borussia Dortmund
495,SLB,SL Benfica
523,OLY,Olympique Lyonnais
503,FCP,FC Porto
100,ROM,AS Roma
109,JUVE,Juventus Turin
99,FIO,ACF Fiorentina
98,ACM,AC Milan
586,FCT,Torino FC
108,Int,FC Internazionale Milano
113,SSC,SSC Napoli
524,PSG,Paris Saint-Germain
548,MON,AS Monaco FC
73,THFC,Tottenham Hotspur FC
65,MCFC,Manchester City FC
66,MUFC,Manchester United FC
57,AFC,Arsenal FC
64,LFC,Liverpool FC
61,CFC,Chelsea FC
81,FCB,FC Barcelona
559,SEV,Sevilla FC
86,MAD,Real Madrid CF
78,ATM,Club Atlético de Madrid
